iter	Passed	Remaining
0	8	8494
1	16	8458
2	24	8298
3	32	8210
4	41	8211
5	50	8327
6	58	8321
7	66	8279
8	74	8213
9	83	8284
10	91	8228
11	100	8245
12	108	8226
13	116	8230
14	125	8220
15	132	8164
16	141	8209
17	149	8178
18	158	8203
19	167	8189
20	176	8208
21	184	8214
22	192	8190
23	201	8180
24	210	8209
25	218	8187
26	227	8190
27	235	8173
28	244	8194
29	253	8212
30	263	8249
31	273	8268
32	281	8262
33	289	8225
34	297	8198
35	305	8176
36	313	8147
37	320	8120
38	328	8102
39	337	8095
40	345	8083
41	354	8079
42	363	8084
43	371	8081
44	380	8069
45	388	8067
46	396	8037
47	404	8027
48	412	8014
49	421	8007
50	429	7996
51	438	7990
52	446	7982
53	455	7974
54	463	7967
55	471	7947
56	479	7928
57	487	7920
58	495	7898
59	504	7902
60	513	7897
61	521	7882
62	529	7881
63	538	7876
64	548	7884
65	557	7884
66	565	7877
67	574	7875
68	582	7864
69	591	7852
70	598	7835
71	607	7831
72	616	7827
73	626	7836
74	634	7826
75	643	7822
76	657	7879
77	668	7905
78	683	7967
79	693	7971
80	701	7963
81	710	7958
82	721	7966
83	730	7961
84	739	7956
85	747	7948
86	756	7940
87	765	7935
88	772	7911
89	781	7901
90	790	7896
91	799	7887
92	807	7872
93	816	7872
94	826	7874
95	836	7876
96	845	7874
97	854	7862
98	863	7857
99	873	7858
100	881	7849
101	891	7844
102	900	7840
103	908	7830
104	917	7816
105	925	7808
106	934	7801
107	942	7785
108	950	7770
109	958	7759
110	967	7751
111	974	7728
112	983	7722
113	991	7702
114	999	7688
115	1007	7675
116	1014	7660
117	1024	7654
118	1032	7645
119	1041	7636
120	1049	7624
121	1057	7609
122	1066	7604
123	1074	7593
124	1082	7575
125	1090	7563
126	1099	7555
127	1107	7547
128	1117	7543
129	1126	7537
130	1135	7530
131	1146	7538
132	1157	7542
133	1166	7536
134	1176	7536
135	1187	7541
136	1196	7534
137	1204	7522
138	1212	7512
139	1222	7507
140	1230	7498
141	1238	7485
142	1247	7478
143	1256	7467
144	1264	7455
145	1273	7448
146	1281	7437
147	1291	7433
148	1302	7438
149	1312	7439
150	1323	7441
151	1332	7433
152	1341	7427
153	1351	7422
154	1360	7415
155	1368	7403
156	1376	7393
