iter	Passed	Remaining
0	9	9266
1	18	9295
2	27	9229
3	36	9177
4	46	9160
5	55	9187
6	64	9113
7	72	9037
8	81	8994
9	90	8944
10	99	8928
11	108	8895
12	116	8828
13	126	8917
14	135	8871
15	143	8806
16	151	8769
17	160	8746
18	169	8767
19	178	8766
20	188	8781
21	197	8771
22	205	8745
23	214	8732
24	223	8729
25	233	8742
26	242	8731
27	251	8729
28	261	8748
29	269	8729
30	279	8727
31	287	8698
32	296	8697
33	306	8695
34	314	8675
35	323	8653
36	331	8622
37	340	8616
38	349	8613
39	359	8627
40	367	8596
41	377	8617
42	387	8614
43	396	8616
44	406	8630
45	416	8629
46	425	8634
47	435	8632
48	444	8628
49	453	8616
50	462	8611
51	472	8609
52	481	8601
53	489	8567
54	498	8558
55	507	8556
56	516	8549
57	526	8544
58	535	8542
59	545	8542
60	554	8543
61	564	8537
62	573	8526
63	581	8505
64	590	8491
65	600	8494
66	609	8481
67	618	8476
68	627	8467
69	636	8453
70	645	8451
71	654	8439
72	663	8420
73	673	8425
74	681	8410
75	691	8405
76	701	8403
77	710	8396
78	719	8388
79	729	8384
80	738	8377
81	747	8369
82	755	8350
83	765	8343
84	774	8338
85	783	8324
86	792	8314
87	802	8313
88	811	8308
89	821	8308
90	831	8304
91	841	8302
92	849	8289
93	858	8275
94	866	8255
95	874	8238
96	884	8231
97	892	8219
98	902	8209
99	911	8204
100	920	8194
101	929	8183
102	939	8182
103	948	8175
104	958	8166
105	966	8154
106	976	8149
107	984	8128
108	993	8120
109	1003	8116
110	1011	8097
111	1020	8090
112	1029	8083
113	1039	8078
114	1048	8071
115	1057	8057
116	1066	8045
117	1074	8032
118	1083	8024
119	1094	8022
120	1102	8009
121	1111	7997
122	1121	7994
123	1129	7979
124	1138	7971
125	1149	7972
126	1160	7979
127	1171	7980
128	1183	7989
129	1192	7982
130	1203	7981
131	1213	7982
132	1223	7976
133	1233	7969
134	1242	7958
135	1250	7943
136	1259	7935
137	1267	7918
138	1276	7906
139	1285	7897
140	1295	7893
141	1305	7885
142	1314	7880
143	1324	7875
144	1332	7857
145	1342	7850
146	1351	7840
147	1360	7834
148	1369	7820
149	1378	7812
150	1387	7799
151	1395	7786
152	1404	7776
153	1413	7765
154	1421	7751
155	1430	7741
156	1440	7735
157	1450	7728
158	1459	7717
159	1470	7718
160	1479	7711
161	1487	7696
162	1495	7680
163	1504	7667
164	1514	7662
165	1523	7652
166	1532	7643
167	1540	7631
168	1549	7618
169	1558	7610
170	1568	7602
171	1576	7590
172	1586	7582
173	1595	7572
174	1604	7565
175	1613	7554
176	1623	7548
177	1632	7539
178	1641	7528
179	1651	7521
180	1680	7604
181	1694	7617
182	1709	7631
183	1717	7617
184	1726	7607
185	1735	7594
186	1745	7586
187	1753	7575
188	1763	7567
189	1772	7555
190	1782	7548
191	1790	7534
192	1798	7521
193	1806	7507
194	1817	7501
195	1826	7493
196	1834	7478
197	1843	7467
198	1851	7454
199	1861	7445
200	1871	7437
201	1879	7426
202	1888	7414
203	1896	7401
204	1906	7394
205	1915	7384
206	1925	7377
207	1934	7365
208	1942	7351
209	1951	7341
210	1960	7330
211	1969	7322
212	1979	7312
213	1988	7303
214	1997	7294
215	2006	7283
216	2016	7274
217	2024	7263
218	2032	7250
219	2041	7237
220	2049	7223
221	2058	7214
222	2067	7204
223	2076	7194
224	2086	7185
225	2095	7178
226	2105	7170
227	2114	7159
228	2123	7149
229	2132	7138
230	2141	7128
231	2148	7113
232	2158	7105
233	2168	7097
234	2177	7087
235	2186	7076
236	2195	7068
237	2204	7058
238	2213	7048
239	2221	7035
240	2230	7025
