iter	Passed	Remaining
0	11	11306
1	20	10464
2	30	10040
3	40	10067
4	50	10041
5	65	10776
6	76	10784
7	87	10909
8	98	10900
9	111	11063
10	123	11088
11	133	11011
12	144	10948
13	154	10867
14	164	10808
15	174	10754
16	186	10783
17	195	10663
18	206	10664
19	219	10739
20	230	10745
21	241	10715
22	252	10719
23	264	10751
24	275	10749
25	287	10771
26	301	10880
27	312	10844
28	322	10799
29	333	10782
30	343	10742
31	353	10701
32	363	10659
33	375	10659
34	387	10675
35	399	10700
36	410	10680
37	420	10649
38	432	10661
39	444	10661
40	457	10709
41	469	10706
42	483	10756
43	493	10724
44	506	10747
45	516	10721
46	528	10713
47	540	10717
48	556	10793
49	568	10807
50	581	10816
51	592	10796
52	602	10768
53	613	10753
54	624	10737
55	634	10692
56	643	10653
57	654	10634
58	665	10619
59	678	10631
60	694	10684
61	706	10684
62	718	10680
63	729	10668
64	739	10634
65	749	10606
66	760	10591
67	773	10602
68	784	10586
69	795	10573
70	804	10528
71	815	10505
72	824	10475
73	834	10443
74	846	10435
75	855	10405
76	865	10375
77	876	10366
78	889	10374
79	901	10361
80	912	10353
81	923	10337
82	933	10316
83	943	10289
84	953	10260
85	963	10244
86	974	10226
87	986	10224
88	999	10234
89	1010	10213
90	1023	10224
91	1033	10195
92	1043	10176
93	1054	10162
94	1064	10140
95	1075	10127
96	1085	10108
97	1097	10104
98	1110	10107
99	1122	10098
100	1131	10071
101	1142	10061
102	1154	10056
103	1164	10034
104	1175	10020
105	1187	10013
106	1196	9989
107	1207	9970
108	1217	9951
109	1229	9946
110	1239	9927
111	1250	9915
112	1264	9923
113	1276	9924
114	1287	9904
115	1298	9895
116	1309	9883
117	1321	9879
118	1335	9883
119	1347	9879
120	1357	9858
121	1367	9845
122	1378	9830
123	1390	9821
124	1400	9802
125	1412	9800
126	1425	9802
127	1437	9791
128	1448	9782
129	1460	9777
130	1473	9775
131	1484	9761
132	1497	9759
133	1509	9753
134	1520	9741
135	1533	9743
136	1543	9722
137	1555	9716
138	1566	9702
139	1578	9693
140	1589	9682
141	1601	9673
142	1612	9665
143	1622	9646
144	1633	9631
145	1644	9616
146	1653	9594
147	1664	9582
148	1675	9568
149	1687	9559
150	1697	9544
151	1709	9537
152	1720	9527
153	1733	9523
154	1745	9517
155	1758	9515
156	1769	9503
157	1780	9488
158	1794	9490
159	1806	9486
160	1820	9485
161	1836	9499
162	1848	9492
163	1860	9486
164	1871	9472
165	1882	9456
166	1891	9435
167	1904	9432
168	1915	9417
169	1926	9404
170	1936	9387
171	1945	9367
172	1958	9362
173	1970	9353
174	1983	9351
175	1994	9337
176	2004	9322
177	2016	9310
178	2028	9304
179	2040	9294
180	2051	9280
181	2062	9269
182	2074	9260
183	2084	9244
184	2096	9235
185	2110	9237
186	2120	9220
187	2131	9208
188	2142	9194
189	2152	9177
190	2169	9189
191	2180	9175
192	2191	9162
193	2201	9145
194	2217	9155
195	2231	9153
196	2244	9149
197	2256	9139
198	2268	9130
199	2278	9114
200	2289	9101
201	2300	9087
202	2310	9070
203	2321	9058
204	2331	9041
205	2343	9032
206	2354	9019
207	2367	9012
208	2378	9001
209	2389	8990
210	2402	8982
211	2413	8972
212	2430	8979
213	2441	8967
214	2452	8953
215	2463	8943
216	2475	8934
217	2490	8932
218	2504	8931
219	2516	8922
220	2528	8913
221	2540	8903
222	2551	8891
223	2564	8884
224	2577	8878
225	2592	8879
226	2608	8883
227	2619	8867
228	2631	8860
229	2643	8850
230	2658	8848
231	2668	8834
232	2678	8818
233	2691	8809
234	2704	8802
235	2715	8789
236	2726	8777
237	2739	8770
238	2750	8759
239	2761	8745
240	2771	8728
241	2783	8717
242	2795	8708
243	2806	8696
244	2817	8683
245	2828	8670
246	2840	8660
247	2854	8654
248	2865	8643
249	2876	8630
250	2888	8619
251	2899	8607
252	2910	8593
253	2923	8586
254	2936	8579
255	2948	8568
256	2960	8558
257	2972	8547
258	2982	8533
259	2994	8522
260	3003	8505
261	3014	8489
262	3025	8479
263	3037	8468
264	3046	8450
265	3056	8433
266	3067	8421
267	3079	8410
268	3090	8399
269	3102	8389
270	3113	8376
271	3128	8372
272	3140	8362
273	3152	8352
274	3164	8342
275	3178	8338
276	3193	8334
277	3203	8319
278	3215	8308
279	3228	8300
280	3242	8297
281	3252	8282
282	3264	8271
283	3275	8257
284	3286	8244
285	3296	8230
286	3308	8218
287	3319	8206
288	3331	8194
289	3341	8181
290	3354	8172
291	3364	8157
292	3375	8145
293	3385	8129
