iter	RMSE
0	0.9678658578
1	0.9370408433
2	0.9075763312
3	0.8798300092
4	0.8532509762
5	0.8279865218
6	0.8035818147
7	0.7803509218
8	0.7581439062
9	0.7369183457
10	0.7170641035
11	0.6982175111
12	0.6804248148
13	0.6630557414
14	0.6469048081
15	0.6310754375
16	0.6163185553
17	0.6022308545
18	0.5889997176
19	0.5763584007
20	0.5644453243
21	0.5529826491
22	0.5421577394
23	0.532261823
24	0.5224675915
25	0.5133010172
26	0.5047892185
27	0.4968341424
28	0.4888654646
29	0.4816123612
30	0.4747330876
31	0.4678601074
32	0.461684951
33	0.4558173374
34	0.4505335759
35	0.4452149616
36	0.4405139438
37	0.4359544555
38	0.4315186704
39	0.4275756922
40	0.4232291113
41	0.4196251349
42	0.4162772675
43	0.4125339782
44	0.4091142172
45	0.4057634153
46	0.4025036699
47	0.3999251307
48	0.3975175115
49	0.3950084899
50	0.3926993767
51	0.3905416943
52	0.3882777983
53	0.3864959667
54	0.3846151392
55	0.3829662109
56	0.38121774
57	0.3795312607
58	0.377940633
59	0.3762198695
60	0.3746802682
61	0.373173461
62	0.3718115301
63	0.370468275
64	0.3690934946
65	0.3678924397
66	0.3669253899
67	0.3659129577
68	0.3648307473
69	0.3637872789
70	0.3628123713
71	0.3617940491
72	0.3608836096
73	0.3599503921
74	0.3590946569
75	0.3582881965
76	0.3570948063
77	0.3561595177
78	0.3553758858
79	0.3549348203
80	0.3541306332
81	0.353499707
82	0.3527355582
83	0.3521564316
84	0.3515338471
85	0.351040074
86	0.3503086905
87	0.3495599372
88	0.3489151744
89	0.3483687061
90	0.3474853896
91	0.346936983
92	0.3464082959
93	0.345725419
94	0.3454780461
95	0.3449791133
96	0.3445884979
97	0.3440408966
98	0.3434705089
99	0.3430262468
100	0.3424352714
101	0.3419879699
102	0.3414073956
103	0.3408853927
104	0.340226874
105	0.3397447207
106	0.3389726146
107	0.3385269004
108	0.3375385781
109	0.3370307874
110	0.3366452608
111	0.3361552114
112	0.3356002514
113	0.334890893
114	0.3344584516
115	0.3340085606
116	0.3336157897
117	0.333198407
118	0.3328014525
119	0.3324365439
120	0.3317964977
121	0.3311297948
122	0.3309102507
123	0.3306158308
124	0.3302493621
125	0.330027144
126	0.3294879871
127	0.3292308041
128	0.3288862733
129	0.328289605
130	0.327963702
131	0.3275462797
132	0.3271445542
133	0.3266867677
134	0.3263969355
135	0.326138861
136	0.3257903623
137	0.3253660902
138	0.3251731479
139	0.3249720295
140	0.3245559125
141	0.324212366
142	0.3238987416
143	0.3234768657
144	0.3231283259
145	0.3227403701
146	0.3223353754
147	0.3220816411
148	0.3213957487
149	0.3211018231
150	0.320594225
151	0.320056236
152	0.3198201434
153	0.3195489301
154	0.3192975634
155	0.3189611873
156	0.3185166995
157	0.3182547142
158	0.3180737519
159	0.3175958986
160	0.317329517
161	0.317123763
162	0.3165096627
163	0.3161957086
164	0.3158549799
165	0.3155028463
166	0.3149819958
167	0.3147766424
168	0.3142961701
169	0.3140233803
170	0.3137088546
171	0.3133746195
172	0.3129738303
173	0.3126829676
174	0.3121586299
175	0.3118609496
176	0.3116202548
177	0.3112770826
178	0.3109605049
179	0.3107433544
180	0.3105423917
181	0.3103887723
182	0.3101203596
183	0.3096754152
184	0.3092720558
185	0.3088615628
186	0.3086072863
187	0.3082372308
188	0.3080403445
189	0.3077048805
190	0.3074576574
191	0.3070470553
192	0.3067633403
193	0.3064771795
194	0.306179589
195	0.3059118491
196	0.305517207
197	0.3051696158
198	0.3047991251
199	0.3046163696
200	0.3043662162
201	0.3040904648
202	0.3038593066
203	0.3034473473
204	0.3030118535
205	0.3026415164
206	0.3024788866
207	0.3020932226
208	0.3018608218
209	0.3015747128
210	0.3013976639
211	0.300903498
212	0.3006076317
213	0.3002896324
214	0.3000403231
215	0.2997828461
216	0.299355734
217	0.298929256
218	0.2984885893
219	0.2982190509
220	0.2980047802
221	0.2977772235
222	0.2975125817
223	0.2972204911
224	0.2970806635
225	0.2968268644
226	0.2966191191
227	0.2962994804
228	0.2961758299
229	0.2960336248
230	0.2957981606
231	0.2955358594
232	0.2952460196
233	0.2949478384
234	0.294772718
235	0.2944804236
236	0.2942458662
237	0.2940905737
238	0.2937244507
239	0.2933646079
240	0.2930814021
241	0.2929005288
242	0.2927248571
243	0.2924067929
244	0.291921528
245	0.2915469893
246	0.2913209504
247	0.2909528184
248	0.2907141055
249	0.2905649792
250	0.2901896774
251	0.2899716514
252	0.2897415288
253	0.2893759123
254	0.2892107846
255	0.2890009511
256	0.2888231501
257	0.2885201694
258	0.2883216726
259	0.2880697026
260	0.2879612857
261	0.2876933369
262	0.2875011964
263	0.2872127272
264	0.2868202301
265	0.2865306805
266	0.2862343091
267	0.2858830216
268	0.2857866377
269	0.285547536
270	0.2853334919
271	0.285058565
272	0.284808495
273	0.2846260409
274	0.2844546573
275	0.2842051924
276	0.2839260793
277	0.2836415782
278	0.2833228368
279	0.2830723873
280	0.2829160961
281	0.282657456
282	0.2823661455
283	0.2819336562
284	0.2816996317
285	0.2814462453
286	0.2812987652
287	0.2811248935
288	0.2808957819
289	0.2806927757
290	0.2804775866
291	0.2801243007
292	0.2799571541
293	0.2796381901
294	0.2793043252
295	0.2789907013
296	0.2786333803
297	0.2784931708
298	0.2782978447
299	0.277997396
300	0.2776672771
301	0.2774150095
302	0.2771839375
303	0.2769827606
304	0.2767224821
305	0.2765512398
306	0.2763761538
307	0.2762237957
308	0.2759726888
309	0.2757311875
310	0.2754923718
311	0.2753876948
312	0.2751731232
313	0.2749201874
314	0.274759181
315	0.2746088079
316	0.2743971275
317	0.2742208001
318	0.2740113358
319	0.2738179545
320	0.273612461
321	0.2734214336
322	0.2731778232
323	0.2729448951
324	0.2727670272
325	0.2725255955
326	0.2723261782
327	0.2721218835
328	0.2718468101
329	0.2715297175
330	0.2712674622
331	0.2712309495
332	0.270963383
333	0.2707553087
334	0.2706328592
335	0.2704572367
336	0.2702732197
337	0.2701023926
338	0.2697776217
339	0.2695351817
340	0.2693734647
341	0.2690791495
342	0.2688108284
343	0.2684696764
344	0.2683755231
345	0.2682526089
346	0.2678355613
347	0.2675780595
348	0.2673914302
349	0.2671970616
350	0.2670975471
351	0.2670526175
352	0.2669092059
353	0.2668513926
354	0.2666662179
355	0.2664069548
356	0.2661774537
357	0.2659140922
358	0.2656714127
359	0.2654169649
360	0.2651946659
361	0.2649051508
362	0.2646145869
363	0.264447707
364	0.2641841947
365	0.2640745576
366	0.2638417034
367	0.2638126826
368	0.2636055516
369	0.2633756684
370	0.263197638
371	0.2629732994
372	0.2628466359
373	0.2626840493
374	0.2624983304
375	0.2623520632
376	0.2622138431
377	0.2619494337
378	0.2618132107
379	0.261637197
380	0.2615497381
381	0.2613762679
382	0.2611538771
383	0.2610267985
384	0.260812321
385	0.260645287
386	0.2604898737
387	0.2603469888
388	0.2602183153
389	0.2600061588
390	0.2596750645
391	0.2594626838
392	0.2592182534
393	0.2589541361
394	0.25869718
395	0.2585887304
396	0.2584200052
397	0.2582680447
398	0.2581043337
399	0.2578225187
400	0.2575832906
401	0.2574571799
402	0.2572078763
403	0.2569505012
404	0.256804924
405	0.2565711899
406	0.2562883008
407	0.2561205503
408	0.255919478
409	0.2558019268
410	0.2557337868
411	0.2555733942
412	0.2553530655
413	0.2552343827
414	0.2550931645
415	0.2549795549
416	0.2547352863
417	0.2544640141
418	0.2542977999
419	0.2541099445
420	0.2539360203
421	0.2536564667
422	0.2533891975
423	0.2532551161
424	0.2531774597
425	0.2530037639
426	0.2527884847
427	0.2525851507
428	0.2523845819
429	0.2521690142
430	0.2519961089
431	0.2518565574
432	0.2516896884
433	0.2514523491
434	0.2512751781
435	0.2511298962
436	0.2509483713
437	0.2508637365
438	0.2507307878
439	0.250469548
440	0.2504496228
441	0.2502821029
442	0.2501032991
443	0.249872844
444	0.2496899741
445	0.2494376514
446	0.2492676447
447	0.2490993496
448	0.2489405003
449	0.2487383118
450	0.2486400444
451	0.2484716605
452	0.2483080376
453	0.248154992
454	0.2480288389
455	0.24780825
456	0.2476396573
457	0.2474803524
458	0.2473732522
459	0.2473211727
460	0.2471799884
461	0.2470249772
462	0.2467835227
463	0.2466912734
464	0.2465438718
465	0.2464095815
466	0.2462675031
467	0.2460786298
468	0.2459468979
469	0.2457428756
470	0.2455955771
471	0.2454721229
472	0.2453803015
473	0.2451840037
474	0.2450094013
475	0.2448287273
476	0.24464418
477	0.2444085019
478	0.2442744392
479	0.2440711003
480	0.2439242367
481	0.2436933798
482	0.2435469558
483	0.2433893562
484	0.243237729
485	0.2430930611
486	0.2430138093
487	0.2428167868
488	0.2426347947
489	0.2424417686
490	0.2423321228
491	0.2422712542
492	0.2420775577
493	0.2420228125
494	0.241894758
495	0.2417908951
496	0.2416664095
497	0.2415619905
498	0.2414633196
499	0.2413761048
500	0.2412130824
501	0.2410208237
502	0.2408499278
503	0.2407820679
504	0.2406400847
505	0.2405172413
506	0.2403213396
507	0.2401904958
508	0.2400360394
509	0.2398234986
510	0.2396957631
511	0.2395803258
512	0.2393736506
513	0.2392697435
514	0.2390201523
515	0.2387800458
516	0.2386543274
517	0.2385592286
518	0.2384059169
519	0.2382271681
520	0.2380863167
521	0.2379484532
522	0.2378274964
523	0.2376013656
524	0.2374051994
