iter	Passed	Remaining
0	31	31708
1	62	31166
2	98	32841
3	129	32336
4	155	31038
5	187	31079
6	217	30880
7	253	31399
8	285	31384
9	316	31377
10	349	31426
11	384	31631
12	419	31859
13	451	31831
14	486	31917
15	518	31876
16	546	31620
17	578	31572
18	610	31499
19	637	31245
20	666	31053
21	695	30939
22	726	30839
23	755	30707
24	781	30488
25	809	30334
26	836	30157
27	862	29933
28	894	29935
29	924	29897
30	955	29861
31	983	29752
32	1014	29716
33	1040	29555
34	1068	29446
35	1095	29334
36	1126	29312
37	1156	29275
38	1183	29172
39	1216	29198
40	1243	29091
41	1271	29000
42	1301	28967
43	1326	28819
44	1354	28745
45	1378	28597
46	1408	28560
47	1433	28438
48	1461	28355
49	1489	28304
50	1519	28267
51	1542	28127
52	1572	28098
53	1600	28035
54	1630	28018
55	1661	28007
56	1689	27953
57	1720	27946
58	1747	27873
59	1776	27829
60	1806	27803
61	1837	27792
62	1866	27761
63	1892	27679
64	1919	27615
65	1948	27577
66	1975	27510
67	2001	27428
68	2030	27397
69	2059	27363
70	2087	27318
71	2113	27238
72	2141	27188
73	2170	27155
74	2199	27123
75	2224	27043
76	2254	27026
77	2287	27041
78	2316	27004
79	2344	26958
80	2371	26911
81	2399	26867
82	2427	26817
83	2451	26735
84	2478	26681
85	2505	26630
86	2539	26649
87	2570	26637
88	2599	26609
89	2628	26581
90	2656	26532
91	2684	26497
92	2717	26503
93	2746	26468
94	2778	26471
95	2805	26415
96	2834	26390
97	2866	26381
98	2895	26348
99	2924	26316
100	2952	26279
101	2978	26225
102	3009	26205
103	3039	26187
104	3068	26152
105	3096	26114
106	3124	26076
107	3155	26064
108	3187	26054
109	3215	26015
110	3248	26016
111	3279	25998
112	3304	25942
113	3333	25908
114	3360	25863
115	3387	25811
116	3413	25763
117	3443	25735
118	3471	25698
119	3501	25680
120	3528	25629
121	3559	25616
122	3590	25602
123	3621	25585
124	3651	25562
125	3679	25520
126	3706	25478
127	3736	25455
128	3763	25411
129	3794	25394
130	3822	25355
131	3848	25306
132	3877	25276
133	3911	25278
134	3940	25248
135	3968	25211
136	4000	25197
137	4026	25150
138	4054	25114
139	4084	25092
140	4114	25064
141	4137	25001
142	4163	24954
143	4192	24922
144	4221	24895
145	4246	24840
146	4272	24790
147	4299	24750
148	4328	24721
149	4356	24684
150	4385	24657
151	4413	24621
152	4446	24614
153	4474	24582
154	4502	24543
155	4528	24499
156	4556	24465
157	4588	24452
158	4616	24417
159	4647	24399
160	4674	24357
161	4704	24337
162	4731	24295
163	4762	24274
164	4791	24248
165	4820	24220
166	4853	24207
167	4881	24176
168	4907	24133
169	4932	24083
170	4957	24035
171	4984	23995
172	5012	23961
173	5044	23947
174	5073	23918
175	5100	23880
176	5129	23851
177	5154	23804
178	5185	23784
179	5213	23748
180	5246	23741
181	5278	23724
182	5311	23713
183	5339	23679
184	5368	23649
185	5398	23625
186	5425	23586
187	5450	23542
188	5476	23499
189	5502	23458
190	5530	23425
191	5561	23405
192	5587	23364
193	5613	23320
194	5643	23298
195	5676	23283
196	5705	23254
197	5736	23236
198	5763	23197
199	5790	23163
200	5819	23133
201	5846	23098
202	5873	23059
203	5901	23025
204	5930	22997
205	5959	22970
206	5988	22941
207	6021	22929
208	6052	22908
209	6082	22882
210	6113	22859
211	6139	22820
212	6166	22785
213	6198	22767
214	6227	22737
215	6257	22712
216	6287	22686
217	6317	22662
218	6345	22628
219	6374	22601
220	6395	22542
221	6428	22527
222	6456	22496
223	6485	22466
224	6512	22430
225	6539	22397
226	6566	22359
227	6593	22325
228	6617	22279
229	6650	22264
230	6683	22250
231	6709	22211
232	6738	22180
233	6765	22148
234	6793	22116
235	6823	22088
236	6853	22063
237	6882	22034
238	6912	22009
239	6939	21974
240	6969	21949
241	6996	21913
242	7026	21888
243	7053	21852
244	7080	21818
245	7105	21777
246	7138	21760
247	7165	21726
248	7194	21697
249	7226	21679
250	7253	21645
251	7285	21626
252	7316	21602
253	7345	21573
254	7372	21538
255	7398	21501
256	7426	21470
257	7455	21443
258	7482	21407
259	7505	21361
260	7537	21342
261	7571	21328
262	7603	21305
263	7631	21275
264	7663	21256
265	7694	21232
266	7723	21202
267	7753	21177
268	7784	21155
269	7815	21130
270	7842	21096
271	7873	21074
272	7900	21039
273	7926	21003
274	7956	20976
275	7989	20956
276	8020	20934
277	8046	20898
278	8075	20869
279	8100	20831
280	8127	20795
281	8154	20763
282	8179	20723
283	8207	20693
284	8237	20665
285	8270	20646
286	8293	20602
287	8321	20573
288	8349	20540
289	8377	20509
290	8405	20479
291	8437	20457
292	8467	20430
293	8491	20390
294	8515	20350
295	8541	20315
296	8569	20282
297	8596	20250
298	8626	20223
299	8655	20196
300	8686	20173
301	8714	20140
302	8748	20124
303	8778	20097
304	8807	20070
305	8837	20043
306	8865	20012
307	8891	19976
308	8917	19942
309	8945	19911
310	8973	19880
311	8999	19844
312	9027	19814
313	9054	19781
314	9084	19755
315	9116	19732
316	9148	19711
317	9179	19687
318	9208	19659
319	9235	19624
320	9265	19599
321	9291	19563
322	9322	19539
323	9350	19508
324	9383	19489
325	9411	19458
326	9436	19421
327	9467	19396
328	9496	19368
329	9524	19338
330	9559	19320
331	9585	19286
332	9613	19256
333	9643	19228
334	9671	19199
335	9704	19178
336	9733	19149
337	9759	19115
338	9787	19084
339	9818	19058
340	9849	19034
341	9875	19000
342	9904	18971
343	9931	18939
344	9960	18910
345	9989	18881
346	10021	18859
347	10053	18834
348	10082	18806
349	10112	18781
350	10147	18762
351	10176	18734
352	10205	18705
353	10240	18686
354	10266	18652
355	10295	18624
356	10326	18599
357	10371	18599
358	10402	18573
359	10426	18536
360	10455	18506
361	10483	18475
362	10515	18452
363	10543	18422
364	10570	18389
365	10599	18361
366	10628	18331
367	10657	18303
368	10685	18272
369	10712	18240
370	10737	18204
371	10766	18175
372	10792	18142
373	10820	18111
374	10848	18081
375	10882	18059
376	10908	18026
377	10938	17999
378	10967	17971
379	10998	17944
380	11027	17915
381	11054	17883
382	11085	17857
383	11114	17829
384	11142	17798
385	11172	17772
386	11199	17739
387	11229	17711
388	11261	17687
389	11286	17652
390	11314	17623
391	11340	17589
392	11369	17560
393	11397	17530
394	11427	17502
395	11453	17469
396	11479	17435
397	11506	17404
398	11533	17373
399	11563	17345
400	11595	17320
401	11626	17295
402	11655	17266
403	11685	17239
404	11711	17205
405	11738	17173
406	11768	17146
407	11796	17116
408	11822	17083
409	11853	17057
410	11879	17024
411	11905	16992
412	11933	16961
413	11962	16932
414	11988	16899
415	12016	16869
416	12045	16840
417	12078	16816
418	12109	16791
419	12137	16760
420	12163	16729
421	12192	16700
422	12222	16671
423	12251	16643
424	12276	16608
425	12303	16577
426	12330	16545
427	12360	16519
428	12387	16487
429	12419	16462
430	12449	16435
431	12483	16413
432	12510	16382
433	12542	16356
434	12566	16322
435	12592	16289
436	12620	16259
437	12649	16230
438	12678	16202
439	12707	16172
440	12737	16145
441	12764	16114
442	12794	16086
443	12823	16058
444	12857	16035
445	12883	16003
446	12913	15976
447	12943	15947
448	12974	15922
449	13001	15890
450	13030	15862
451	13062	15836
452	13093	15810
453	13122	15782
454	13146	15747
455	13178	15722
456	13204	15688
457	13232	15659
458	13259	15627
459	13288	15600
460	13318	15571
461	13348	15543
462	13380	15518
463	13407	15487
464	13439	15462
465	13468	15434
466	13496	15403
467	13525	15375
468	13551	15342
469	13578	15311
470	13606	15281
471	13638	15256
472	13665	15226
473	13698	15200
474	13728	15173
475	13757	15145
476	13785	15114
477	13810	15081
478	13835	15048
479	13859	15014
480	13885	14982
481	13908	14947
482	13937	14918
483	13965	14888
484	13996	14862
485	14025	14833
486	14052	14802
487	14083	14776
488	14114	14749
489	14143	14720
490	14177	14697
491	14207	14669
492	14232	14637
493	14260	14607
494	14290	14578
495	14319	14550
496	14343	14516
497	14370	14486
498	14399	14456
499	14426	14426
500	14454	14396
501	14482	14367
502	14513	14340
503	14542	14311
504	14572	14283
505	14599	14252
506	14631	14227
507	14659	14197
508	14688	14168
509	14717	14140
510	14742	14107
511	14775	14082
512	14802	14051
513	14830	14022
514	14857	13992
515	14887	13963
516	14912	13931
517	14938	13900
518	14968	13872
519	14999	13845
520	15024	13813
521	15055	13786
522	15088	13761
523	15117	13732
524	15146	13703
525	15175	13675
526	15201	13643
527	15232	13617
528	15259	13586
529	15292	13561
530	15317	13528
531	15347	13501
532	15375	13471
533	15405	13443
534	15436	13416
535	15467	13389
536	15499	13363
537	15527	13334
538	15555	13304
539	15582	13274
540	15615	13248
541	15642	13218
542	15671	13189
543	15699	13159
544	15728	13131
545	15759	13104
546	15789	13076
547	15818	13047
548	15844	13016
549	15873	12987
550	15901	12957
551	15924	12924
552	15953	12895
553	15982	12866
554	16012	12838
555	16041	12810
556	16069	12780
557	16098	12751
558	16125	12721
559	16156	12694
560	16185	12665
561	16214	12636
562	16244	12608
563	16270	12577
564	16297	12547
565	16323	12516
566	16349	12485
567	16377	12456
568	16407	12428
569	16438	12401
570	16468	12372
571	16494	12341
572	16518	12309
573	16550	12283
574	16577	12252
575	16602	12221
576	16628	12190
577	16652	12157
578	16679	12127
579	16706	12098
580	16732	12066
581	16762	12039
582	16792	12011
583	16817	11979
584	16846	11950
585	16878	11924
586	16909	11897
587	16934	11865
588	16964	11837
589	16992	11808
590	17018	11777
591	17051	11751
592	17078	11721
593	17105	11691
594	17135	11663
595	17163	11634
596	17190	11603
597	17216	11573
598	17246	11545
599	17276	11517
600	17305	11489
601	17337	11462
602	17364	11432
603	17394	11404
604	17422	11375
605	17454	11348
606	17480	11317
607	17508	11288
608	17534	11257
609	17564	11229
610	17595	11202
611	17626	11174
612	17652	11144
613	17681	11115
614	17708	11085
615	17738	11057
616	17765	11028
617	17794	10999
618	17822	10970
619	17851	10941
620	17879	10911
621	17906	10882
622	17935	10853
623	17967	10826
624	17994	10796
625	18023	10767
626	18052	10739
627	18079	10709
628	18106	10679
629	18134	10650
630	18159	10619
631	18189	10591
632	18219	10563
633	18245	10532
634	18273	10503
635	18306	10477
636	18333	10447
637	18363	10419
638	18390	10389
639	18420	10361
640	18455	10336
641	18486	10308
642	18515	10280
643	18544	10251
644	18567	10219
645	18593	10188
646	18620	10159
647	18649	10130
648	18677	10101
649	18705	10071
650	18732	10042
651	18759	10012
652	18787	9983
653	18815	9954
654	18845	9926
655	18876	9898
656	18901	9867
657	18928	9838
658	18955	9808
659	18980	9777
660	19010	9749
661	19037	9719
662	19069	9692
663	19098	9664
664	19126	9634
665	19150	9604
666	19179	9575
667	19208	9546
668	19233	9516
669	19265	9489
670	19297	9461
671	19327	9433
672	19356	9404
673	19387	9377
674	19414	9347
675	19444	9319
676	19470	9289
677	19498	9260
678	19526	9231
679	19556	9203
680	19588	9175
681	19617	9147
682	19645	9117
683	19673	9088
684	19704	9061
685	19737	9034
686	19766	9005
687	19797	8978
688	19826	8949
689	19856	8921
690	19885	8892
691	19913	8863
692	19941	8834
693	19971	8805
694	19995	8774
695	20019	8744
696	20050	8716
697	20078	8687
698	20107	8658
699	20137	8630
700	20173	8604
701	20205	8577
702	20231	8547
703	20262	8519
704	20291	8490
705	20323	8463
706	20351	8434
707	20378	8404
708	20406	8375
709	20435	8346
710	20466	8318
711	20496	8290
712	20524	8261
713	20550	8231
714	20580	8203
715	20606	8173
716	20634	8144
717	20661	8115
718	20693	8087
719	20728	8060
720	20759	8033
721	20785	8003
722	20810	7973
723	20840	7944
724	20867	7915
725	20892	7885
726	20920	7856
727	20946	7826
728	20970	7795
729	21002	7768
730	21029	7738
731	21055	7709
732	21085	7680
733	21114	7651
734	21144	7623
735	21172	7594
736	21197	7564
737	21227	7536
738	21256	7507
739	21284	7478
740	21318	7451
741	21352	7424
742	21381	7395
743	21411	7367
744	21442	7339
745	21470	7310
746	21497	7280
747	21523	7251
748	21555	7223
749	21584	7194
750	21614	7166
751	21648	7139
752	21677	7110
753	21709	7082
754	21741	7055
755	21775	7028
756	21808	7000
757	21841	6973
758	21875	6946
759	21903	6917
760	21933	6888
761	21960	6859
762	21989	6830
763	22020	6802
764	22051	6774
765	22075	6743
766	22105	6715
767	22137	6687
768	22163	6657
769	22193	6629
770	22224	6600
771	22249	6571
772	22281	6543
773	22312	6515
774	22346	6487
775	22373	6458
776	22403	6429
777	22436	6402
778	22460	6371
779	22488	6342
780	22522	6315
781	22560	6289
782	22592	6261
783	22623	6232
784	22655	6205
785	22685	6176
786	22720	6149
787	22751	6121
788	22782	6092
789	22814	6064
790	22842	6035
791	22872	6006
792	22900	5977
793	22931	5949
794	22960	5920
795	22993	5892
796	23024	5864
797	23055	5836
798	23084	5807
799	23115	5778
800	23148	5750
801	23180	5722
802	23212	5694
803	23243	5666
804	23272	5637
805	23297	5607
806	23325	5578
807	23355	5549
808	23387	5521
809	23420	5493
810	23444	5463
811	23472	5434
812	23504	5406
813	23536	5378
814	23562	5348
815	23590	5319
816	23619	5290
817	23648	5261
818	23678	5233
819	23709	5204
820	23738	5175
821	23766	5146
822	23794	5117
823	23821	5088
824	23850	5059
825	23877	5029
826	23906	5000
827	23930	4971
828	23952	4940
829	23977	4911
830	24005	4881
831	24034	4853
832	24059	4823
833	24089	4794
834	24117	4765
835	24146	4736
836	24175	4707
837	24202	4678
838	24230	4649
839	24260	4620
